epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,932.05,1.79491,1.89219,1.28932,0.75184,0.39299,0.49769,0.29719,1.58412,2.09236,1.16531,0.000660066,0.000660066,0.000660066
2,1698.61,1.49656,1.11463,1.129,0.79231,0.60628,0.70076,0.43973,1.52943,1.20076,1.16082,0.00127419,0.00127419,0.00127419
3,2398.79,1.45872,1.0381,1.11699,0.76405,0.69357,0.76051,0.4759,1.52917,1.13514,1.1286,0.00183552,0.00183552,0.00183552
4,3131.11,1.39731,0.95344,1.09932,0.79711,0.74507,0.81116,0.51793,1.39849,1.0398,1.11286,0.0017624,0.0017624,0.0017624
5,3875.89,1.3651,0.91508,1.07959,0.74192,0.74105,0.79066,0.50058,1.43402,1.15806,1.08031,0.0016832,0.0016832,0.0016832
6,12128,1.32956,0.88088,1.06456,0.82916,0.80834,0.8746,0.57635,1.30826,0.90159,1.05882,0.001604,0.001604,0.001604
7,14051.4,1.28262,0.838,1.0393,0.8263,0.7385,0.83751,0.56119,1.31441,0.87218,1.05621,0.0015248,0.0015248,0.0015248
8,14648.1,1.25986,0.80506,1.0336,0.86134,0.79182,0.88011,0.57774,1.32394,0.84091,1.06284,0.0014456,0.0014456,0.0014456
9,15248.8,1.25037,0.79022,1.02703,0.86816,0.79949,0.8873,0.6035,1.234,0.81005,1.03223,0.0013664,0.0013664,0.0013664
10,15834,1.22825,0.7749,1.0283,0.86236,0.83519,0.8908,0.61232,1.19927,0.78569,1.02682,0.0012872,0.0012872,0.0012872
11,16397.1,1.17944,0.72984,1.01273,0.88039,0.85099,0.90411,0.62636,1.17312,0.77425,1.01142,0.001208,0.001208,0.001208
12,17080.3,1.16739,0.7242,1.00132,0.87529,0.81774,0.90102,0.64328,1.15025,0.70974,1.00259,0.0011288,0.0011288,0.0011288
13,18868.2,1.15911,0.70961,0.99699,0.87952,0.83017,0.9091,0.634,1.17996,0.74856,1.01961,0.0010496,0.0010496,0.0010496
14,20394.9,1.14372,0.69649,0.98854,0.87859,0.86596,0.92571,0.66035,1.10875,0.68917,0.98536,0.0009704,0.0009704,0.0009704
15,21616.3,1.11132,0.67332,0.98332,0.87346,0.84957,0.92069,0.65953,1.15516,0.68043,0.99813,0.0008912,0.0008912,0.0008912
16,25445,1.05398,0.64454,0.96066,0.89859,0.86231,0.92838,0.66386,1.09209,0.70852,0.98277,0.000812,0.000812,0.000812
17,29477.4,1.02486,0.62291,0.95793,0.87739,0.86771,0.92525,0.66099,1.13412,0.68356,0.98178,0.0007328,0.0007328,0.0007328
18,30067.9,1.00252,0.59905,0.95225,0.90603,0.86626,0.93744,0.69114,1.04112,0.64205,0.96912,0.0006536,0.0006536,0.0006536
19,30613.3,0.99106,0.59043,0.94424,0.90516,0.86231,0.93451,0.67705,1.08978,0.66184,0.98355,0.0005744,0.0005744,0.0005744
20,31130.7,0.96842,0.5739,0.93348,0.91288,0.88021,0.93975,0.68639,1.0476,0.6161,0.96923,0.0004952,0.0004952,0.0004952
21,31656.9,0.95788,0.56965,0.93067,0.92485,0.87509,0.94491,0.71543,0.98136,0.5887,0.95294,0.000416,0.000416,0.000416
22,32199.1,0.93468,0.5531,0.92359,0.92541,0.88808,0.94988,0.72539,0.98756,0.58658,0.95592,0.0003368,0.0003368,0.0003368
23,32763.1,0.91385,0.54348,0.92342,0.92369,0.88861,0.9465,0.72023,0.99001,0.59102,0.95667,0.0002576,0.0002576,0.0002576
24,33295.2,0.8937,0.53229,0.91168,0.92905,0.89153,0.95138,0.72884,0.96503,0.58573,0.94954,0.0001784,0.0001784,0.0001784
25,33828.1,0.88024,0.52197,0.90918,0.93965,0.89273,0.95465,0.73528,0.94247,0.58758,0.94048,9.92e-05,9.92e-05,9.92e-05
